run,transform_time,epoch,n_params,training_time,training_f1,training_loss,eval_train_f1,eval_train_loss,eval_train_time,eval_val_f1,eval_val_loss,eval_val_time,eval_test_f1,eval_test_loss,eval_test_time
0,4.32280969619751,0,878925,0.340958833694458,0.6164194549844774,3.841858309048873,0.3907669311256755,1.9072369978978083,0.011653661727905273,0.388,1.8458287715911865,0.0027451515197753906,0.413,1.7463533878326416,0.0027642250061035156
0,4.32280969619751,1,878925,0.35680174827575684,0.6733356329768886,1.1226061582565308,0.39720593308037255,1.0798091705028827,0.011644601821899414,0.416,1.05788254737854,0.002755880355834961,0.407,1.0419803857803345,0.003324747085571289
0,4.32280969619751,2,878925,0.34533143043518066,0.7829136483845004,0.5829673317762522,0.48637461193515,1.0322555303573608,0.011944293975830078,0.498,1.016577959060669,0.0033102035522460938,0.529,1.0010147094726562,0.0032999515533447266
0,4.32280969619751,3,878925,0.3325080871582031,0.8116017017362309,0.5167938424990728,0.6370587558928366,0.9577486148247352,0.011787652969360352,0.634,0.9498998522758484,0.0029306411743164062,0.674,0.9425414204597473,0.0027980804443359375
0,4.32280969619751,4,878925,0.3214864730834961,0.8076923076923077,0.5416009426116943,0.7119121536161895,0.7954088220229516,0.01204681396484375,0.706,0.7917386889457703,0.002747058868408203,0.728,0.7769440412521362,0.002945423126220703
0,4.32280969619751,5,878925,0.3197321891784668,0.8083247096700011,0.535921729527987,0.7929745889387145,0.6871203550925622,0.011924028396606445,0.812,0.6689286828041077,0.002762317657470703,0.798,0.6788318753242493,0.002745389938354492
0,4.32280969619751,6,878925,0.35951709747314453,0.8068874324479706,0.5345132946968079,0.7965965275382316,0.593959955068735,0.011742115020751953,0.806,0.5777256488800049,0.0027642250061035156,0.82,0.5787734389305115,0.002857685089111328
0,4.32280969619751,7,878925,0.31999993324279785,0.8056226284925837,0.5405110074923589,0.8190180522019087,0.5186788027103131,0.011727333068847656,0.836,0.5307650566101074,0.0027425289154052734,0.835,0.5125852823257446,0.0028455257415771484
0,4.32280969619751,8,878925,0.3039815425872803,0.8040703690927906,0.5425284275641808,0.8352305392664137,0.49486276507377625,0.0116729736328125,0.822,0.5098028182983398,0.0027666091918945312,0.838,0.4846070110797882,0.002791881561279297
0,4.32280969619751,9,878925,0.33187031745910645,0.8023456364263539,0.5446896048692557,0.8159710244912038,0.5368912724348215,0.011654138565063477,0.806,0.5514169931411743,0.0027866363525390625,0.797,0.5421404242515564,0.0028188228607177734
0,4.32280969619751,10,878925,0.31746959686279297,0.7988961710934805,0.553897866835961,0.8034379671150972,0.5483125769175016,0.011740684509277344,0.816,0.5448037981987,0.0027709007263183594,0.799,0.5540915727615356,0.0030975341796875
0,4.32280969619751,11,878925,0.34134602546691895,0.8030355294929286,0.5483411000325129,0.8248821432677935,0.5074105125207168,0.011790275573730469,0.83,0.5221191644668579,0.002742290496826172,0.825,0.5123671889305115,0.0027740001678466797
0,4.32280969619751,12,878925,0.3341825008392334,0.7998735196044613,0.5485813342607938,0.8267218581119926,0.4879990288844475,0.011686563491821289,0.79,0.5164308547973633,0.002759695053100586,0.82,0.48448053002357483,0.0030736923217773438
0,4.32280969619751,13,878925,0.30469536781311035,0.7990686443601241,0.5485355028739343,0.8262619294009429,0.4957136855675624,0.01176905632019043,0.83,0.4952133893966675,0.0033385753631591797,0.805,0.5162497162818909,0.0033376216888427734
0,4.32280969619751,14,878925,0.33580684661865234,0.8043578245371967,0.5416435232529273,0.8190180522019087,0.5037383964428535,0.011879205703735352,0.822,0.5045580267906189,0.0027670860290527344,0.818,0.5099328756332397,0.0027353763580322266
0,4.32280969619751,15,878925,0.32436394691467285,0.802115672070829,0.5467632550459641,0.8287340462228354,0.4879927107921013,0.011798620223999023,0.808,0.4982473850250244,0.00278472900390625,0.819,0.5029278993606567,0.002832651138305664
0,4.32280969619751,16,878925,0.3529481887817383,0.8056226284925837,0.5386185416808495,0.8235023571346441,0.5022356854035304,0.011656045913696289,0.812,0.507428765296936,0.002850770950317383,0.811,0.516628623008728,0.002736330032348633
0,4.32280969619751,17,878925,0.3163285255432129,0.7994710819822928,0.5549163176463201,0.8283890996895481,0.5073248468912565,0.011692285537719727,0.808,0.5251545310020447,0.0027964115142822266,0.833,0.5005532503128052,0.002771139144897461
0,4.32280969619751,18,878925,0.3412661552429199,0.8013107968264919,0.554003133223607,0.8336207887777395,0.519494469349201,0.011672258377075195,0.842,0.5053788423538208,0.0028107166290283203,0.842,0.5214720964431763,0.002825498580932617
0,4.32280969619751,19,878925,0.3196578025817871,0.8014257790042544,0.5534747426326458,0.8214901690238013,0.5189687242874732,0.012204170227050781,0.814,0.5181424617767334,0.003340482711791992,0.818,0.5330336093902588,0.0033540725708007812
0,4.32280969619751,20,878925,0.34918761253356934,0.8321260204668276,0.5018689724115225,0.865183396573531,0.5126942373239077,0.011814117431640625,0.852,0.5151050686836243,0.002728700637817383,0.862,0.5060865879058838,0.002796649932861328
0,4.32280969619751,21,878925,0.3120410442352295,0.851270553064275,0.4534356204363016,0.8711624698171784,0.41841344420726484,0.011686563491821289,0.86,0.43091875314712524,0.0027823448181152344,0.878,0.4184139370918274,0.0027709007263183594
0,4.32280969619751,22,878925,0.3034646511077881,0.8549499827526733,0.44274832422916705,0.8711624698171784,0.3995972459132855,0.011858224868774414,0.848,0.4122622311115265,0.0027625560760498047,0.856,0.4128694236278534,0.002868175506591797
